transaction_date,customer_id,amount,product_id,payment_method,is_anomaly
2023-06-11 19:28:00,user_165,166.0,prod_40,Google Pay,0
2023-11-26 10:07:00,user_878,516.0,prod_39,Apple Pay,0
2023-09-05 20:38:00,user_294,1621.0,prod_44,карта,0
2023-06-30 18:22:00,user_911,888.0,prod_49,карта,0
2024-01-25 10:23:00,user_519,532.0,prod_44,карта,0
2023-06-08 07:23:00,user_78,620.0,prod_48,Google Pay,0
2023-07-09 21:52:00,user_434,1434.0,prod_10,карта,0
2023-11-13 23:43:00,user_577,380.0,prod_31,Google Pay,0
2023-12-19 01:59:00,user_614,301.0,prod_44,карта,0
2023-12-02 00:11:00,user_963,1991.0,prod_11,Google Pay,0
2024-01-08 21:43:00,user_869,1096.0,prod_25,карта,0
2024-02-08 16:26:00,user_812,295.0,prod_46,карта,0
2023-04-28 09:27:00,user_799,412.0,prod_45,Apple Pay,0
2023-09-04 15:14:00,user_683,368.0,prod_34,карта,0
2023-09-06 14:50:00,user_77,181.0,prod_20,криптовалюта,0
2024-02-27 22:51:00,user_48,48387.09,prod_7,карта,1
2024-01-14 02:36:00,user_767,359.0,prod_33,карта,0
2024-01-01 06:20:00,user_82,1141.0,prod_35,Google Pay,0
2024-01-23 06:17:00,user_895,205.0,prod_29,криптовалюта,0
2023-05-28 13:49:00,user_721,497.0,prod_12,карта,0
2023-11-20 20:01:00,user_209,112.0,prod_5,криптовалюта,0
2024-02-03 14:59:00,user_445,822.0,prod_12,карта,0
2023-11-19 14:34:00,user_971,47730.69,prod_29,карта,1
2023-09-22 16:35:00,user_596,591.0,prod_35,карта,0
2023-04-19 07:03:00,user_522,127.0,prod_20,карта,0
2023-03-02 05:53:00,user_29,219.0,prod_37,карта,0
2023-06-14 03:53:00,user_304,139.0,prod_1,карта,0
2023-09-07 17:25:00,user_994,270.0,prod_16,карта,0
2023-04-13 01:09:00,user_465,594.0,prod_30,Google Pay,0
2023-11-25 15:14:00,user_502,518.0,prod_9,карта,0
2023-10-01 07:20:00,user_446,574.0,prod_42,другое,0
2023-09-24 12:17:00,user_628,498.0,prod_10,Google Pay,0
2023-04-22 23:25:00,user_490,259.0,prod_13,карта,0
2023-10-03 12:40:00,user_781,240.0,prod_48,карта,0
2023-08-04 14:44:00,user_428,174.0,prod_20,карта,0
2023-05-04 06:08:00,user_559,1045.0,prod_29,Google Pay,0
2024-02-07 00:43:00,user_359,579.0,prod_4,карта,0
2023-07-14 23:10:00,user_960,203.0,prod_46,карта,0
2023-05-20 07:34:00,user_91,198.0,prod_49,криптовалюта,0
2023-12-14 04:41:00,user_53,1132.0,prod_28,Apple Pay,0
2023-10-17 08:27:00,user_730,779.0,prod_37,карта,0
2023-07-13 08:07:00,user_860,45269.01,prod_13,карта,1
2023-11-23 01:32:00,user_589,361.0,prod_3,криптовалюта,0
2023-04-17 22:22:00,user_204,252.0,prod_37,криптовалюта,0
2023-05-01 23:36:00,user_556,2042.0,prod_48,карта,0
2023-06-07 11:39:00,user_156,898.0,prod_19,карта,0
2023-09-30 02:00:00,user_2,280.0,prod_28,Google Pay,0
2023-10-13 04:46:00,user_357,45793.76,prod_19,Google Pay,1
2023-07-09 00:04:00,user_825,811.0,prod_17,Google Pay,0
2023-10-04 22:13:00,user_569,276.0,prod_18,карта,0
2024-02-22 08:14:00,user_802,378.0,prod_18,криптовалюта,0
2023-03-15 09:59:00,user_983,203.0,prod_23,карта,0
2023-08-26 06:48:00,user_58,159.0,prod_40,карта,0
2023-04-21 03:29:00,user_254,741.0,prod_50,Apple Pay,0
2023-10-17 12:14:00,user_180,256.0,prod_9,карта,0
2023-08-18 03:12:00,user_493,958.0,prod_29,криптовалюта,0
2023-08-07 06:58:00,user_669,2814.0,prod_42,карта,0
2023-10-29 21:27:00,user_35,140.0,prod_29,Google Pay,0
2023-05-05 09:44:00,user_75,420.0,prod_2,карта,0
2023-05-01 20:05:00,user_944,910.0,prod_17,Apple Pay,0
2023-12-09 11:43:00,user_289,878.0,prod_45,карта,0
2024-02-03 10:57:00,user_371,814.0,prod_31,Apple Pay,0
2024-02-11 06:32:00,user_587,315.0,prod_28,Apple Pay,0
2023-12-08 19:12:00,user_329,402.0,prod_43,карта,0
2023-10-19 02:38:00,user_590,552.0,prod_48,карта,0
2023-09-14 07:26:00,user_767,1924.0,prod_39,карта,0
2023-07-15 04:32:00,user_777,298.0,prod_30,Google Pay,0
2024-01-01 09:43:00,user_999,1383.0,prod_35,карта,0
2023-07-30 14:58:00,user_304,257.0,prod_48,карта,0
2023-08-07 23:40:00,user_579,2358.0,prod_20,карта,0
2023-08-27 16:48:00,user_221,655.0,prod_16,криптовалюта,0
2023-04-21 11:38:00,user_979,411.0,prod_34,карта,0
2023-06-21 04:48:00,user_164,575.0,prod_14,карта,0
2023-05-20 16:01:00,user_480,259.0,prod_26,Google Pay,0
2023-07-08 21:22:00,user_455,260.0,prod_20,Apple Pay,0
2023-10-10 00:00:00,user_375,160.0,prod_42,карта,0
2023-07-04 01:52:00,user_220,161.0,prod_24,другое,0
2023-08-19 05:31:00,user_684,314.0,prod_43,Apple Pay,0
2023-11-02 03:54:00,user_254,820.0,prod_18,карта,0
2023-09-19 23:58:00,user_722,568.0,prod_43,карта,0
2023-11-10 05:23:00,user_188,154.0,prod_9,криптовалюта,0
2024-01-19 19:33:00,user_191,1056.0,prod_19,карта,0
2023-09-14 21:10:00,user_389,560.0,prod_20,карта,0
2023-10-26 15:32:00,user_215,21560.32,prod_42,карта,1
2023-09-17 05:15:00,user_375,655.0,prod_30,Google Pay,0
2024-02-12 02:19:00,user_86,196.0,prod_26,карта,0
2023-11-07 03:18:00,user_474,421.0,prod_31,Apple Pay,0
2024-02-09 02:18:00,user_618,16058.8,prod_35,карта,1
2023-07-26 06:51:00,user_844,114.0,prod_3,Apple Pay,0
2023-07-06 06:17:00,user_808,108.0,prod_40,Google Pay,0
2024-02-23 00:10:00,user_531,169.0,prod_29,карта,0
2023-07-29 09:34:00,user_47,245.0,prod_6,Google Pay,0
2023-11-18 15:25:00,user_65,381.0,prod_1,карта,0
2023-06-20 19:59:00,user_963,434.0,prod_24,Google Pay,0
2023-03-02 00:47:00,user_475,174.0,prod_38,карта,0
2023-11-09 11:04:00,user_146,659.0,prod_34,карта,0
2023-04-06 22:08:00,user_946,553.0,prod_7,другое,0
2023-10-19 02:18:00,user_798,274.0,prod_11,другое,0
2023-12-29 15:02:00,user_382,107.0,prod_11,карта,0
2023-07-30 21:55:00,user_66,140.0,prod_36,карта,0
2023-08-08 23:51:00,user_517,349.0,prod_20,карта,0
2023-05-14 16:07:00,user_93,184.0,prod_16,криптовалюта,0
2023-06-12 19:34:00,user_865,336.0,prod_5,карта,0
2023-06-20 02:24:00,user_426,595.0,prod_24,карта,0
2024-02-12 17:45:00,user_468,496.0,prod_30,карта,0
2024-02-01 01:53:00,user_94,231.0,prod_30,криптовалюта,0
